"archetype","mean.fixed","mean.flex","mean.PAYG","mean.flexPAYG","mean.BG.peaksave","mean.BG.peaksave_10pct","mean.BG.peaksave_20pct","mean.BG.peaksave_30pct","mean.BG.peaksave_50pct","mean.agile_noflex"
"G10p",750.71,733.65,711.87,711.87,679.96,676.49,673.02,669.55,662.6,598.06
"G22",1422.97,1357.01,1308.9,1308.9,1264.32,1256.15,1247.98,1239.81,1223.47,1121.98
