"archetype","sum.im.kwh","sum.im.heat.kwh","sum.ex.kwh","mean.fixed","mean.flex","mean.cosy","mean.go","mean.flux","mean.intel_flux","mean.intelgo","mean.oev_intelgo","mean.agile_noflex","mean.SEG_out","mean.flux_out","mean.intel_flux_out","mean.agile_out","mean.outgoing_oct","mean.outgoing_oct_lite"
"HP_only",4368.1,2202.09,NA,1041.26,1106.45,1081.16,1072.02,1145.49,1058.44,1044.44,1038.03,496.14,0,0,0,0,0,0
"VX",2940.91,NA,346.28,728.72,772.2,755.97,680.8,775.86,736.91,646.49,637.72,337.76,10.65,35.03,57.96,26.27,38.96,20.78
