"window","month","weekend","mean.Q_heatout","mean.Q_hp","mean.Q_gas","mean.Q_heat_elec_in","mean.Q_total_elec_in","count","p50.Q_heatout","p50.Q_hp","p50.Q_gas","p50.Q_heat_elec_in","p50.Q_total_elec_in","p10.Q_heatout","p10.Q_hp","p10.Q_gas","p10.Q_heat_elec_in","p10.Q_total_elec_in","p25.Q_heatout","p25.Q_hp","p25.Q_gas","p25.Q_heat_elec_in","p25.Q_total_elec_in","p75.Q_heatout","p75.Q_hp","p75.Q_gas","p75.Q_heat_elec_in","p75.Q_total_elec_in","p90.Q_heatout","p90.Q_hp","p90.Q_gas","p90.Q_heat_elec_in","p90.Q_total_elec_in"
0,1,0,0.582628509121481,0.497192579132243,0.0854359299892435,0.2052328445251,0.32648023099926,443,0.306952380952312,0.255904761904795,0,0.127809523809533,0.221099166666644,0,0,0,0.00543809523811173,0.0969394795238958,0.0205476190476258,0.00802380952384716,0,0.0240476190476114,0.130779990476187,0.88907142857121,0.794261904761882,0,0.315904761904701,0.44280387500001,1.47687619047631,1.29641904761901,0.084180952380952,0.527047619047412,0.674856515714174
0,1,1,0.531950903830313,0.45052886344907,0.0814220403812369,0.190557985327317,0.329551677283961,443,0.292099999999937,0.233799999999883,0,0.101562499999966,0.217688799999972,0,0,0,0.00499999999995453,0.0950712500000128,0.00540000000005421,0.00245000000003302,0,0.0216000000000129,0.143002425000008,0.802700000000095,0.707816666666566,0,0.280800000000022,0.419829999999719,1.37897999999972,1.27036000000003,0.112932500000011,0.513100000000023,0.673146150000183
0,2,0,0.526068482760999,0.454823356540088,0.0712451262209083,0.185064625117102,0.299655395740169,442,0.274725000000001,0.222099999999921,0,0.121474999999993,0.205807599999979,0,0,0,0.0054049999998847,0.0825213199999958,0.0153249999999503,0.00875460526316673,0,0.0243307692307536,0.124319199999931,0.792989393939519,0.721875000000023,0,0.273887500000001,0.400350800000032,1.3964188888892,1.23500000000011,0.0922950000001974,0.49167500000001,0.601338319999922
0,2,1,0.560831208252539,0.478310778926948,0.0825204293255805,0.205178912590677,0.341633165081451,442,0.31078124999955,0.255624999999707,0,0.129687499999983,0.231567800000085,0,0,0,0.00487499999999841,0.0869832800000239,0.00703124999992611,0.00240624999996441,0,0.0218124999998999,0.137111250000084,0.846593749999783,0.753531250000605,0,0.310718749999864,0.44859999999975,1.43602499999981,1.27382500000052,0.178700000000168,0.544374999999991,0.731971999999794
0,3,0,0.419116374942138,0.356918404566863,0.0621979703752744,0.143893963437235,0.256998149660162,444,0.21695652173916,0.178499999999946,0,0.0928372502937979,0.205772886956592,0,0,0,0.00453478260862104,0.077684409999992,0.0182065217391522,0.00905434782611754,0,0.0164619565217283,0.11633509382148,0.605563905546899,0.522543478260757,0,0.210217391304389,0.34503604130435,1.03927826086978,1.00017173913035,0.0938877470355755,0.380465217391174,0.536907018850058
0,3,1,0.394377868698269,0.342414487262172,0.0519633814360927,0.14376182927306,0.270185809928476,443,0.181499999999915,0.153749999999718,0,0.0836875000000532,0.219271799999982,0,0,0,0.00427500000000691,0.0743010000000706,0.00187500000009777,0.000750000000039107,0,0.0111249999999634,0.12105279999995,0.581687500000043,0.527718750000147,0,0.226624999999899,0.371287799999783,1.00257499999991,0.937374999999701,0.0765850000001217,0.364862499999923,0.518353211999812
0,4,0,0.415266681825953,0.321197605616473,0.0940690762094792,0.120674905821327,0.250135049542274,434,0.166100000000001,0.134500000000071,0,0.0631499999999836,0.166379576315784,0,0,0,0.0048812499999542,0.0844712062162621,0.00639404761903637,0.00219999999988735,0,0.0158822674418179,0.113020617441714,0.539116569767457,0.470354196301376,0,0.169751162790643,0.307745213889105,1.07601476190471,0.939275889046831,0.120977291381673,0.324517342342323,0.51297813405416
0,4,1,0.399434789178087,0.356940619124926,0.0424941700531619,0.147520536530654,0.294311793865622,434,0.196214285714481,0.149011904762033,0,0.0778000000000248,0.211110083333301,0,0,0,0.0044333333333725,0.0852699200000069,0.00140625000004017,0.000142857142723837,0,0.0114642857143638,0.123041346428572,0.560160714285627,0.514999999999808,0,0.226611111111167,0.386524075000014,1.03328571428544,0.986512499999668,0.0336866666668009,0.40418205128184,0.634619647058835
0,5,0,0.252257441694644,0.223196325495391,0.0290611161992467,0.0763866428685552,0.219304649779333,434,0.0929534632034712,0.0735669988925855,0,0.041550420168059,0.16048017857142,0,0,0,0.00450714285710168,0.080295318181793,9.19913420100832e-05,0,0,0.0108571428571081,0.108964554736235,0.272559523809497,0.240145960832207,0,0.0911915544674892,0.235351659619557,0.633437209302368,0.577421904761793,0.0565441860465203,0.157354703832859,0.397043933554789
0,5,1,0.260889359983822,0.220056861730936,0.0408324982528816,0.0747198527349824,0.220630600226665,434,0.0443710526315747,0.021789473684171,0,0.0273961038961937,0.170152652631608,0,0,0,0.00433333333317023,0.0695713263157866,0,0,0,0.00763541666668901,0.10877401228074,0.23959999999997,0.205585526315769,0,0.093708333333369,0.249141523245544,0.586073684210504,0.492153157894741,0.0137999999998605,0.195681871344995,0.400671329122661
