archetype,read_month,read_type_of_day,read_hh,n_puprn,elec_imp_mean,elec_imp_50th,elec_imp_75th,elec_imp_25th,elec_imp_90th,elec_imp_10th
D,nov,weekday,27,80,6.07E-05,5.81E-05,7.09E-05,4.62E-05,9.20E-05,3.83E-05
D,nov,weekday,28,80,5.82E-05,5.33E-05,7.33E-05,4.12E-05,8.21E-05,3.86E-05
D,nov,weekday,29,80,5.66E-05,4.95E-05,6.85E-05,4.12E-05,8.09E-05,3.50E-05
D,nov,weekday,30,80,5.79E-05,5.47E-05,6.77E-05,4.42E-05,8.02E-05,3.98E-05
D,nov,weekday,31,80,5.80E-05,5.37E-05,6.22E-05,4.46E-05,8.70E-05,3.92E-05
D,nov,weekday,32,80,6.86E-05,5.55E-05,7.90E-05,4.82E-05,0.000105796,4.27E-05
D,nov,weekday,33,80,8.04E-05,6.37E-05,9.86E-05,5.29E-05,0.000131059,4.42E-05
D,nov,weekday,34,80,9.06E-05,7.16E-05,0.000105321,5.76E-05,0.000158503,4.48E-05
D,nov,weekday,35,80,9.88E-05,7.76E-05,0.000121903,5.95E-05,0.000157801,4.63E-05
D,nov,weekday,36,80,9.31E-05,8.06E-05,0.000124177,5.94E-05,0.000158977,5.17E-05
D,nov,weekday,37,80,9.22E-05,8.39E-05,0.000105222,6.69E-05,0.000141082,5.44E-05
D,nov,weekday,38,80,9.50E-05,8.05E-05,0.000110496,6.73E-05,0.000140292,5.70E-05
D,nov,weekday,39,80,9.66E-05,8.04E-05,0.000116235,6.43E-05,0.000146736,4.77E-05
D,nov,weekday,40,80,9.17E-05,7.54E-05,0.000121429,6.54E-05,0.000145595,5.11E-05
D,nov,weekday,41,80,8.54E-05,7.51E-05,0.000101891,6.25E-05,0.000119385,5.19E-05
D,nov,weekday,42,80,8.20E-05,7.21E-05,9.79E-05,6.04E-05,0.000119438,5.16E-05
D,nov,weekday,43,80,7.58E-05,6.57E-05,9.06E-05,5.44E-05,0.000117569,4.52E-05
D,nov,weekday,44,80,7.23E-05,6.30E-05,8.87E-05,5.01E-05,0.000104384,3.99E-05
D,nov,weekday,45,80,6.94E-05,5.97E-05,7.84E-05,4.52E-05,0.000103319,3.70E-05
D,nov,weekday,46,80,6.06E-05,5.68E-05,7.62E-05,4.18E-05,0.000101975,2.29E-05
D,nov,weekday,47,80,5.24E-05,4.92E-05,6.47E-05,3.35E-05,8.93E-05,2.21E-05
D,nov,weekday,48,80,4.73E-05,4.76E-05,6.26E-05,2.75E-05,7.85E-05,1.79E-05
D,nov,weekend,1,80,4.68E-05,4.40E-05,5.85E-05,2.90E-05,6.94E-05,2.12E-05
D,nov,weekend,2,80,4.17E-05,3.50E-05,5.33E-05,2.56E-05,6.42E-05,1.82E-05
D,nov,weekend,3,80,3.94E-05,3.41E-05,4.46E-05,2.67E-05,6.21E-05,1.71E-05
D,nov,weekend,4,80,3.70E-05,3.22E-05,4.28E-05,2.39E-05,5.99E-05,1.62E-05
D,nov,weekend,5,80,3.49E-05,2.96E-05,4.35E-05,2.35E-05,5.13E-05,1.81E-05
D,nov,weekend,6,80,3.36E-05,2.95E-05,4.32E-05,2.32E-05,5.05E-05,1.59E-05
D,nov,weekend,7,80,3.22E-05,2.67E-05,4.13E-05,2.16E-05,4.86E-05,1.77E-05
D,nov,weekend,8,80,3.09E-05,2.72E-05,3.99E-05,2.20E-05,4.80E-05,1.48E-05
D,nov,weekend,9,80,3.02E-05,2.74E-05,3.77E-05,2.15E-05,4.70E-05,1.18E-05
D,nov,weekend,10,80,3.20E-05,2.84E-05,3.96E-05,2.19E-05,5.07E-05,1.48E-05
D,nov,weekend,11,80,3.15E-05,3.20E-05,3.82E-05,1.95E-05,4.52E-05,1.56E-05
D,nov,weekend,12,80,3.32E-05,2.95E-05,3.61E-05,2.33E-05,4.92E-05,1.79E-05
D,nov,weekend,13,80,3.62E-05,3.23E-05,3.99E-05,2.52E-05,5.19E-05,1.98E-05
D,nov,weekend,14,80,4.03E-05,3.22E-05,4.41E-05,2.74E-05,6.23E-05,1.97E-05
D,nov,weekend,15,80,4.84E-05,3.29E-05,4.52E-05,2.59E-05,8.05E-05,1.99E-05
D,nov,weekend,16,80,5.03E-05,4.08E-05,6.12E-05,3.03E-05,8.55E-05,2.35E-05
D,nov,weekend,17,80,5.88E-05,4.87E-05,7.24E-05,3.61E-05,0.000114392,2.46E-05
D,nov,weekend,18,80,5.70E-05,4.82E-05,6.72E-05,3.28E-05,9.00E-05,2.96E-05
D,nov,weekend,19,80,6.30E-05,5.22E-05,7.68E-05,3.75E-05,9.69E-05,2.47E-05
D,nov,weekend,20,80,6.40E-05,5.76E-05,6.96E-05,3.72E-05,0.000109071,3.13E-05
D,nov,weekend,21,80,6.98E-05,6.04E-05,9.14E-05,4.20E-05,0.000122001,3.36E-05
D,nov,weekend,22,80,7.68E-05,6.49E-05,0.000102832,4.58E-05,0.000127541,3.55E-05
D,nov,weekend,23,80,6.98E-05,6.08E-05,7.86E-05,4.33E-05,0.000108267,3.57E-05
D,nov,weekend,24,80,7.29E-05,5.63E-05,8.46E-05,4.46E-05,0.000136652,3.85E-05
D,nov,weekend,25,80,7.80E-05,5.91E-05,9.31E-05,4.36E-05,0.000132191,3.36E-05
D,nov,weekend,26,80,7.03E-05,6.25E-05,7.75E-05,4.38E-05,0.000136601,3.41E-05
D,nov,weekend,27,80,7.33E-05,6.24E-05,8.62E-05,4.29E-05,0.000130431,3.78E-05
D,nov,weekend,28,80,6.79E-05,5.87E-05,8.09E-05,4.11E-05,0.000129749,3.61E-05
D,nov,weekend,29,80,7.22E-05,6.15E-05,8.93E-05,4.62E-05,0.000134556,3.49E-05
D,nov,weekend,30,80,7.99E-05,6.59E-05,9.32E-05,4.88E-05,0.000131105,4.12E-05
D,nov,weekend,31,80,7.74E-05,6.62E-05,9.82E-05,5.09E-05,0.000141306,3.60E-05
D,nov,weekend,32,80,8.71E-05,7.57E-05,0.000117837,5.15E-05,0.000147589,3.97E-05
D,nov,weekend,33,80,9.80E-05,8.29E-05,0.00012749,5.67E-05,0.000158049,4.84E-05
D,nov,weekend,34,80,0.000102095,8.90E-05,0.000128499,6.62E-05,0.000153042,5.17E-05
D,nov,weekend,35,80,0.000106092,8.66E-05,0.000120651,6.72E-05,0.000165541,5.45E-05
D,nov,weekend,36,80,0.00010416,9.38E-05,0.00013384,6.72E-05,0.000174297,5.82E-05
D,nov,weekend,37,80,0.000101253,8.03E-05,0.000121534,6.29E-05,0.000152723,5.40E-05
D,nov,weekend,38,80,9.32E-05,7.58E-05,0.000105883,6.17E-05,0.000141518,4.89E-05
D,nov,weekend,39,80,8.96E-05,7.52E-05,0.000114216,6.01E-05,0.000150567,5.06E-05
D,nov,weekend,40,80,8.46E-05,7.13E-05,9.00E-05,5.93E-05,0.000126992,5.31E-05
D,nov,weekend,41,80,8.23E-05,6.89E-05,0.000102552,5.72E-05,0.000124103,4.83E-05
D,nov,weekend,42,80,8.28E-05,6.91E-05,9.68E-05,5.75E-05,0.000135342,4.86E-05
D,nov,weekend,43,80,7.92E-05,7.01E-05,8.66E-05,5.17E-05,0.000137652,4.48E-05
D,nov,weekend,44,80,7.42E-05,6.52E-05,9.64E-05,4.80E-05,0.000107132,3.69E-05
D,nov,weekend,45,80,7.05E-05,6.37E-05,8.59E-05,4.35E-05,9.74E-05,3.72E-05
D,nov,weekend,46,80,6.12E-05,5.62E-05,7.27E-05,4.16E-05,8.42E-05,3.42E-05
D,nov,weekend,47,80,5.24E-05,5.02E-05,6.83E-05,3.26E-05,7.72E-05,2.54E-05
D,nov,weekend,48,80,4.77E-05,4.55E-05,5.83E-05,2.81E-05,7.79E-05,1.80E-05
D,oct,weekday,1,80,4.22E-05,4.05E-05,5.56E-05,2.46E-05,6.57E-05,1.81E-05
D,oct,weekday,2,80,3.98E-05,3.89E-05,4.73E-05,2.38E-05,5.99E-05,1.74E-05
D,oct,weekday,3,80,3.72E-05,3.31E-05,4.59E-05,2.49E-05,5.33E-05,1.89E-05
D,oct,weekday,4,80,3.53E-05,3.13E-05,4.25E-05,2.50E-05,5.10E-05,1.76E-05
D,oct,weekday,5,80,3.36E-05,2.82E-05,4.14E-05,2.20E-05,5.11E-05,1.69E-05
D,oct,weekday,6,80,3.14E-05,2.86E-05,4.01E-05,2.10E-05,4.94E-05,1.62E-05
D,oct,weekday,7,80,3.03E-05,2.74E-05,3.89E-05,2.16E-05,4.33E-05,1.61E-05
D,oct,weekday,8,80,2.99E-05,2.88E-05,3.99E-05,1.95E-05,4.51E-05,1.55E-05
D,oct,weekday,9,80,2.97E-05,2.79E-05,3.90E-05,1.98E-05,4.62E-05,1.58E-05
D,oct,weekday,10,80,3.24E-05,2.88E-05,3.83E-05,2.01E-05,4.65E-05,1.68E-05
D,oct,weekday,11,80,3.17E-05,2.91E-05,3.83E-05,2.22E-05,4.91E-05,1.73E-05
D,oct,weekday,12,80,3.49E-05,3.12E-05,4.24E-05,2.42E-05,4.69E-05,1.79E-05
D,oct,weekday,13,80,4.16E-05,3.71E-05,4.82E-05,2.70E-05,6.76E-05,2.05E-05
D,oct,weekday,14,80,4.45E-05,3.84E-05,4.95E-05,2.79E-05,7.51E-05,1.91E-05
D,oct,weekday,15,80,4.99E-05,4.17E-05,5.49E-05,2.79E-05,7.87E-05,2.46E-05
D,oct,weekday,16,80,5.14E-05,4.41E-05,6.57E-05,3.27E-05,7.78E-05,2.74E-05
D,oct,weekday,17,80,5.51E-05,4.55E-05,6.78E-05,3.67E-05,8.76E-05,3.24E-05
D,oct,weekday,18,80,5.66E-05,4.91E-05,6.98E-05,3.93E-05,8.17E-05,3.34E-05
D,oct,weekday,19,80,6.25E-05,5.48E-05,7.35E-05,4.48E-05,0.000111541,3.17E-05
D,oct,weekday,20,80,5.70E-05,5.16E-05,6.97E-05,3.95E-05,8.77E-05,3.53E-05
D,oct,weekday,21,80,5.90E-05,5.36E-05,6.72E-05,4.57E-05,8.50E-05,3.36E-05
D,oct,weekday,22,80,6.51E-05,5.51E-05,6.79E-05,4.56E-05,9.20E-05,3.70E-05
D,oct,weekday,23,80,6.29E-05,5.68E-05,6.91E-05,4.59E-05,8.23E-05,3.57E-05
D,oct,weekday,24,80,6.29E-05,5.39E-05,7.11E-05,4.50E-05,9.10E-05,3.55E-05
D,oct,weekday,25,80,6.47E-05,6.12E-05,7.89E-05,4.46E-05,8.91E-05,3.42E-05
D,oct,weekday,26,80,6.33E-05,6.05E-05,7.46E-05,4.46E-05,9.28E-05,3.26E-05
D,oct,weekday,27,80,6.11E-05,5.89E-05,7.03E-05,4.43E-05,8.30E-05,3.51E-05
D,oct,weekday,28,80,5.80E-05,5.79E-05,6.70E-05,4.23E-05,7.48E-05,3.61E-05
D,oct,weekday,29,80,5.83E-05,5.39E-05,6.44E-05,4.14E-05,8.66E-05,3.68E-05
D,oct,weekday,30,80,5.74E-05,5.50E-05,7.12E-05,3.99E-05,8.50E-05,3.44E-05
D,oct,weekday,31,80,5.75E-05,5.17E-05,6.73E-05,4.23E-05,9.25E-05,3.10E-05
D,oct,weekday,32,80,6.23E-05,5.72E-05,7.10E-05,4.22E-05,9.77E-05,3.19E-05
D,oct,weekday,33,80,6.90E-05,6.17E-05,8.24E-05,4.85E-05,0.000118117,3.71E-05
D,oct,weekday,34,80,8.05E-05,6.83E-05,9.78E-05,5.37E-05,0.000126526,4.26E-05
D,oct,weekday,35,80,9.15E-05,7.87E-05,0.000106351,5.75E-05,0.000165363,4.28E-05
D,oct,weekday,36,80,9.18E-05,7.20E-05,0.00010974,5.84E-05,0.000158784,5.30E-05
D,oct,weekday,37,80,8.47E-05,7.44E-05,9.68E-05,6.22E-05,0.000121404,5.07E-05
D,oct,weekday,38,80,9.13E-05,8.02E-05,0.000102934,6.12E-05,0.000141125,5.55E-05
D,oct,weekday,39,80,8.98E-05,8.28E-05,0.000107895,6.84E-05,0.000136568,4.45E-05
D,oct,weekday,40,80,8.44E-05,7.76E-05,9.83E-05,6.36E-05,0.000140611,5.18E-05
D,oct,weekday,41,80,8.17E-05,6.93E-05,9.09E-05,6.32E-05,0.000127778,5.38E-05
D,oct,weekday,42,80,7.68E-05,7.14E-05,8.67E-05,5.69E-05,0.000117472,4.89E-05
D,oct,weekday,43,80,7.38E-05,6.78E-05,8.67E-05,5.30E-05,0.000113017,4.60E-05
D,oct,weekday,44,80,6.91E-05,6.56E-05,7.91E-05,5.23E-05,0.000103738,3.90E-05
D,oct,weekday,45,80,6.70E-05,6.12E-05,7.04E-05,4.57E-05,9.73E-05,3.54E-05
D,oct,weekday,46,80,5.81E-05,5.55E-05,7.21E-05,3.96E-05,7.92E-05,2.60E-05
D,oct,weekday,47,80,5.06E-05,4.77E-05,6.09E-05,3.69E-05,7.51E-05,2.04E-05
D,oct,weekday,48,80,4.60E-05,4.52E-05,5.74E-05,3.08E-05,6.80E-05,1.93E-05
D,oct,weekend,1,80,4.31E-05,4.04E-05,5.18E-05,2.84E-05,6.88E-05,2.08E-05
D,oct,weekend,2,80,4.04E-05,3.65E-05,4.86E-05,2.64E-05,6.92E-05,2.17E-05
D,oct,weekend,3,80,3.65E-05,3.41E-05,4.63E-05,2.38E-05,6.06E-05,1.96E-05
D,oct,weekend,4,80,3.45E-05,3.00E-05,4.44E-05,2.20E-05,5.90E-05,1.73E-05
D,oct,weekend,5,80,3.32E-05,2.95E-05,4.17E-05,2.22E-05,5.26E-05,1.75E-05
D,oct,weekend,6,80,3.18E-05,2.63E-05,4.23E-05,2.15E-05,4.89E-05,1.64E-05
D,oct,weekend,7,80,3.06E-05,2.91E-05,4.16E-05,2.17E-05,4.92E-05,1.65E-05
D,oct,weekend,8,80,3.01E-05,2.76E-05,3.91E-05,2.06E-05,4.46E-05,1.82E-05
D,oct,weekend,9,80,3.12E-05,2.69E-05,4.21E-05,2.10E-05,5.01E-05,1.50E-05
D,oct,weekend,10,80,3.08E-05,2.90E-05,3.81E-05,2.00E-05,4.48E-05,1.67E-05
D,oct,weekend,11,80,3.03E-05,2.88E-05,3.69E-05,2.23E-05,4.62E-05,1.63E-05
D,oct,weekend,12,80,3.35E-05,3.22E-05,3.97E-05,2.21E-05,4.96E-05,1.69E-05
D,oct,weekend,13,80,3.41E-05,3.08E-05,3.82E-05,2.27E-05,6.01E-05,1.75E-05
D,oct,weekend,14,80,3.77E-05,3.17E-05,4.11E-05,2.45E-05,5.60E-05,2.00E-05
D,oct,weekend,15,80,4.50E-05,3.70E-05,5.01E-05,2.84E-05,6.57E-05,2.13E-05
D,oct,weekend,16,80,4.99E-05,4.08E-05,6.03E-05,2.72E-05,8.98E-05,2.25E-05
D,oct,weekend,17,80,5.83E-05,4.51E-05,7.26E-05,3.65E-05,9.44E-05,2.71E-05
D,oct,weekend,18,80,5.99E-05,4.88E-05,7.76E-05,3.86E-05,0.000104866,3.01E-05
D,oct,weekend,19,80,5.93E-05,4.85E-05,7.27E-05,3.79E-05,9.51E-05,2.99E-05
D,oct,weekend,20,80,6.27E-05,5.62E-05,7.50E-05,3.83E-05,9.09E-05,3.28E-05
D,oct,weekend,21,80,7.37E-05,5.96E-05,8.73E-05,4.19E-05,0.000117052,3.52E-05
D,oct,weekend,22,80,7.57E-05,5.87E-05,9.22E-05,4.62E-05,0.000109727,4.12E-05
D,oct,weekend,23,80,7.56E-05,5.83E-05,8.84E-05,4.55E-05,0.00011119,3.77E-05
D,oct,weekend,24,80,7.16E-05,6.10E-05,8.48E-05,4.65E-05,0.000123002,3.58E-05
D,oct,weekend,25,80,7.61E-05,6.44E-05,8.98E-05,4.28E-05,0.000120902,3.36E-05
D,oct,weekend,26,80,7.47E-05,6.00E-05,8.81E-05,4.92E-05,0.000133532,3.60E-05
D,oct,weekend,27,80,7.46E-05,6.60E-05,8.51E-05,4.75E-05,0.000114012,4.22E-05
D,oct,weekend,28,80,7.46E-05,6.33E-05,8.65E-05,4.58E-05,0.000137709,4.06E-05
D,oct,weekend,29,80,7.22E-05,5.90E-05,8.42E-05,4.51E-05,0.000112128,3.97E-05
D,oct,weekend,30,80,7.10E-05,6.14E-05,8.44E-05,4.44E-05,0.000114923,3.56E-05
D,oct,weekend,31,80,7.15E-05,5.89E-05,9.44E-05,4.60E-05,0.000110566,3.58E-05
D,oct,weekend,32,80,7.49E-05,6.60E-05,9.00E-05,5.15E-05,0.000129993,4.16E-05
D,oct,weekend,33,80,7.97E-05,6.30E-05,9.77E-05,5.59E-05,0.000124169,4.46E-05
D,oct,weekend,34,80,8.40E-05,6.58E-05,0.000104768,5.15E-05,0.000139739,4.38E-05
D,oct,weekend,35,80,9.73E-05,8.56E-05,0.00011602,5.73E-05,0.000157075,4.52E-05
D,oct,weekend,36,80,9.93E-05,8.22E-05,0.000107036,6.25E-05,0.000150493,4.65E-05
D,oct,weekend,37,80,9.87E-05,9.05E-05,0.000114895,6.79E-05,0.000168469,4.80E-05
D,oct,weekend,38,80,9.46E-05,8.00E-05,0.000125137,6.21E-05,0.000154249,5.00E-05
D,oct,weekend,39,80,8.91E-05,7.48E-05,0.000100665,5.88E-05,0.000167584,4.92E-05
D,oct,weekend,40,80,8.09E-05,7.11E-05,9.38E-05,5.93E-05,0.000126828,5.00E-05
D,oct,weekend,41,80,8.24E-05,7.58E-05,9.65E-05,5.33E-05,0.000130456,4.87E-05
D,oct,weekend,42,80,8.05E-05,7.13E-05,9.74E-05,5.96E-05,0.000119225,4.89E-05
D,oct,weekend,43,80,7.32E-05,6.64E-05,8.02E-05,5.41E-05,0.000107378,4.49E-05
D,oct,weekend,44,80,6.64E-05,6.12E-05,7.18E-05,4.97E-05,9.25E-05,4.39E-05
D,oct,weekend,45,80,6.33E-05,5.92E-05,7.40E-05,4.74E-05,8.29E-05,3.65E-05
D,oct,weekend,46,80,6.11E-05,5.62E-05,7.30E-05,4.22E-05,9.14E-05,2.33E-05
D,oct,weekend,47,80,5.32E-05,5.08E-05,6.06E-05,3.64E-05,8.71E-05,2.22E-05
D,oct,weekend,48,80,4.68E-05,4.65E-05,5.96E-05,2.90E-05,6.71E-05,2.08E-05
D,sep,weekday,1,80,4.28E-05,4.27E-05,5.51E-05,2.92E-05,6.67E-05,1.81E-05
D,sep,weekday,2,80,3.94E-05,3.90E-05,5.01E-05,2.53E-05,6.01E-05,1.89E-05
D,sep,weekday,3,80,3.61E-05,3.33E-05,4.29E-05,2.32E-05,5.21E-05,1.81E-05
D,sep,weekday,4,80,3.53E-05,3.23E-05,4.45E-05,2.15E-05,5.14E-05,1.89E-05
D,sep,weekday,5,80,3.27E-05,2.86E-05,4.29E-05,2.14E-05,4.89E-05,1.80E-05
D,sep,weekday,6,80,3.21E-05,3.07E-05,4.15E-05,2.18E-05,4.78E-05,1.53E-05
D,sep,weekday,7,80,3.14E-05,3.05E-05,4.13E-05,2.19E-05,4.50E-05,1.61E-05
D,sep,weekday,8,80,3.04E-05,2.87E-05,3.67E-05,2.09E-05,4.60E-05,1.63E-05
D,sep,weekday,9,80,3.00E-05,2.92E-05,3.77E-05,2.17E-05,4.54E-05,1.65E-05
D,sep,weekday,10,80,3.19E-05,3.06E-05,3.80E-05,2.15E-05,4.35E-05,1.68E-05
D,sep,weekday,11,80,3.10E-05,2.94E-05,4.03E-05,2.13E-05,4.38E-05,1.64E-05
D,sep,weekday,12,80,3.59E-05,3.28E-05,4.05E-05,2.49E-05,4.94E-05,1.93E-05
D,sep,weekday,13,80,3.87E-05,3.33E-05,4.45E-05,2.44E-05,6.19E-05,2.04E-05
D,sep,weekday,14,80,4.55E-05,3.57E-05,5.28E-05,2.96E-05,7.35E-05,2.21E-05
D,sep,weekday,15,80,4.81E-05,3.94E-05,6.22E-05,3.24E-05,7.62E-05,2.38E-05
D,sep,weekday,16,80,5.29E-05,4.42E-05,6.33E-05,3.32E-05,8.20E-05,2.83E-05
D,sep,weekday,17,80,5.60E-05,4.93E-05,6.55E-05,3.79E-05,8.49E-05,2.76E-05
D,sep,weekday,18,80,5.96E-05,5.27E-05,6.66E-05,3.86E-05,9.57E-05,3.22E-05
D,sep,weekday,19,80,5.90E-05,5.40E-05,7.04E-05,4.08E-05,8.75E-05,3.01E-05
D,sep,weekday,20,80,5.78E-05,5.12E-05,7.14E-05,3.74E-05,7.97E-05,2.99E-05
D,sep,weekday,21,80,5.58E-05,5.16E-05,6.11E-05,3.98E-05,8.63E-05,3.07E-05
D,sep,weekday,22,80,6.25E-05,5.48E-05,6.76E-05,4.40E-05,9.02E-05,3.62E-05
D,sep,weekday,23,80,6.15E-05,5.37E-05,6.72E-05,4.38E-05,8.64E-05,2.96E-05
D,sep,weekday,24,80,6.13E-05,5.61E-05,6.82E-05,4.34E-05,9.42E-05,3.49E-05
D,sep,weekday,25,80,6.35E-05,5.46E-05,7.94E-05,4.64E-05,9.44E-05,3.46E-05
D,sep,weekday,26,80,5.96E-05,5.82E-05,6.51E-05,4.52E-05,8.56E-05,3.43E-05
D,sep,weekday,27,80,5.99E-05,5.35E-05,6.63E-05,4.74E-05,9.35E-05,3.34E-05
D,sep,weekday,28,80,5.87E-05,5.60E-05,6.58E-05,4.47E-05,8.69E-05,3.86E-05
D,sep,weekday,29,80,5.84E-05,5.48E-05,6.59E-05,4.26E-05,7.94E-05,3.94E-05
D,sep,weekday,30,80,5.84E-05,5.44E-05,7.08E-05,4.44E-05,8.76E-05,3.34E-05
D,sep,weekday,31,80,5.91E-05,5.39E-05,6.89E-05,4.44E-05,9.45E-05,3.84E-05
D,sep,weekday,32,80,6.07E-05,6.08E-05,7.16E-05,4.55E-05,8.67E-05,3.98E-05
D,sep,weekday,33,80,6.98E-05,6.10E-05,8.21E-05,4.91E-05,0.000123315,3.61E-05
D,sep,weekday,34,80,7.71E-05,6.96E-05,9.65E-05,5.13E-05,0.000104039,3.39E-05
D,sep,weekday,35,80,8.47E-05,6.88E-05,9.95E-05,5.28E-05,0.0001336,4.76E-05
D,sep,weekday,36,80,8.51E-05,7.18E-05,9.77E-05,5.74E-05,0.000120738,4.74E-05
D,sep,weekday,37,80,7.94E-05,6.51E-05,8.86E-05,5.49E-05,0.000113282,4.55E-05
D,sep,weekday,38,80,8.02E-05,7.26E-05,9.52E-05,5.51E-05,0.000136387,4.53E-05
D,sep,weekday,39,80,8.56E-05,7.37E-05,9.22E-05,5.50E-05,0.000132772,5.08E-05
D,sep,weekday,40,80,8.41E-05,7.80E-05,9.86E-05,5.98E-05,0.000140884,4.70E-05
D,sep,weekday,41,80,8.00E-05,7.14E-05,0.000104304,6.13E-05,0.000120708,5.16E-05
D,sep,weekday,42,80,7.51E-05,7.02E-05,8.62E-05,5.82E-05,9.97E-05,5.04E-05
D,sep,weekday,43,80,7.01E-05,6.27E-05,8.05E-05,5.55E-05,0.000105486,4.95E-05
D,sep,weekday,44,80,6.64E-05,6.12E-05,7.75E-05,5.23E-05,9.84E-05,4.30E-05
D,sep,weekday,45,80,6.20E-05,5.91E-05,7.53E-05,4.61E-05,9.38E-05,3.53E-05
D,sep,weekday,46,80,5.90E-05,5.37E-05,7.14E-05,3.87E-05,8.78E-05,3.16E-05
D,sep,weekday,47,80,5.39E-05,4.55E-05,6.17E-05,3.52E-05,8.13E-05,2.26E-05
D,sep,weekday,48,80,4.69E-05,4.22E-05,5.56E-05,2.83E-05,7.17E-05,2.17E-05
D,sep,weekend,1,80,4.57E-05,3.95E-05,5.45E-05,3.01E-05,7.12E-05,2.26E-05
D,sep,weekend,2,80,4.31E-05,3.77E-05,5.18E-05,2.69E-05,6.53E-05,2.06E-05
D,sep,weekend,3,80,3.88E-05,3.39E-05,4.87E-05,2.51E-05,5.77E-05,1.80E-05
D,sep,weekend,4,80,3.56E-05,2.98E-05,4.63E-05,2.25E-05,5.36E-05,1.85E-05
D,sep,weekend,5,80,3.39E-05,2.88E-05,4.66E-05,2.23E-05,5.39E-05,1.76E-05
D,sep,weekend,6,80,3.22E-05,2.97E-05,4.19E-05,2.24E-05,4.84E-05,1.67E-05
D,sep,weekend,7,80,3.16E-05,2.93E-05,4.11E-05,2.19E-05,4.68E-05,1.67E-05
D,sep,weekend,8,80,3.17E-05,3.17E-05,3.91E-05,2.33E-05,4.70E-05,1.64E-05
D,sep,weekend,9,80,3.17E-05,2.70E-05,4.36E-05,1.92E-05,5.09E-05,1.67E-05
D,sep,weekend,10,80,3.36E-05,3.14E-05,4.22E-05,2.37E-05,4.82E-05,1.74E-05
D,sep,weekend,11,80,3.14E-05,2.91E-05,4.07E-05,2.03E-05,4.74E-05,1.67E-05
D,sep,weekend,12,80,3.36E-05,2.97E-05,4.19E-05,2.46E-05,4.97E-05,1.78E-05
D,sep,weekend,13,80,3.41E-05,2.95E-05,4.08E-05,2.40E-05,5.56E-05,1.98E-05
D,sep,weekend,14,80,4.03E-05,3.43E-05,4.46E-05,2.55E-05,6.55E-05,2.06E-05
D,sep,weekend,15,80,4.35E-05,3.93E-05,5.14E-05,2.68E-05,8.08E-05,2.27E-05
D,sep,weekend,16,80,4.70E-05,4.14E-05,5.48E-05,3.01E-05,8.10E-05,2.28E-05
D,sep,weekend,17,80,4.93E-05,4.29E-05,5.39E-05,3.33E-05,7.70E-05,2.63E-05
D,sep,weekend,18,80,5.84E-05,4.92E-05,7.06E-05,3.81E-05,9.94E-05,2.62E-05
D,sep,weekend,19,80,5.82E-05,5.47E-05,7.44E-05,3.96E-05,9.42E-05,2.75E-05
D,sep,weekend,20,80,6.30E-05,5.56E-05,7.51E-05,4.00E-05,0.000116777,2.49E-05
D,sep,weekend,21,80,6.54E-05,5.58E-05,7.00E-05,4.19E-05,0.000103944,3.35E-05
D,sep,weekend,22,80,7.53E-05,6.35E-05,7.85E-05,4.26E-05,0.000112651,3.05E-05
D,sep,weekend,23,80,7.61E-05,5.54E-05,7.65E-05,4.11E-05,0.000133219,3.47E-05
D,sep,weekend,24,80,7.07E-05,5.98E-05,7.94E-05,4.66E-05,0.000101372,3.94E-05
D,sep,weekend,25,80,7.68E-05,6.68E-05,8.41E-05,4.94E-05,0.000135213,3.53E-05
D,sep,weekend,26,80,6.97E-05,5.40E-05,8.49E-05,4.57E-05,0.000109375,3.71E-05
D,sep,weekend,27,80,6.48E-05,5.62E-05,8.04E-05,4.25E-05,0.000101142,3.32E-05
D,sep,weekend,28,80,6.29E-05,5.84E-05,7.56E-05,4.21E-05,9.47E-05,3.11E-05
D,sep,weekend,29,80,5.84E-05,5.19E-05,6.46E-05,3.87E-05,9.47E-05,3.06E-05
D,sep,weekend,30,80,6.40E-05,5.46E-05,7.77E-05,4.11E-05,0.00010488,3.24E-05
D,sep,weekend,31,80,6.43E-05,5.16E-05,7.92E-05,4.28E-05,9.91E-05,3.24E-05
D,sep,weekend,32,80,6.92E-05,6.19E-05,9.05E-05,4.91E-05,0.000106919,3.70E-05
D,sep,weekend,33,80,7.67E-05,6.31E-05,8.21E-05,4.74E-05,0.000120659,3.89E-05
D,sep,weekend,34,80,7.26E-05,5.75E-05,9.21E-05,4.67E-05,0.000126591,4.01E-05
D,sep,weekend,35,80,8.38E-05,6.16E-05,0.000111447,5.27E-05,0.00014631,4.12E-05
D,sep,weekend,36,80,8.75E-05,6.73E-05,9.85E-05,5.79E-05,0.000151906,3.94E-05
D,sep,weekend,37,80,7.99E-05,6.67E-05,0.000111501,4.93E-05,0.000125691,3.88E-05
D,sep,weekend,38,80,8.05E-05,6.42E-05,9.98E-05,5.17E-05,0.000141298,4.30E-05
D,sep,weekend,39,80,8.23E-05,6.56E-05,9.52E-05,5.33E-05,0.00014024,4.48E-05
D,sep,weekend,40,80,7.68E-05,6.23E-05,1.00E-04,5.30E-05,0.000114698,3.91E-05
D,sep,weekend,41,80,7.98E-05,6.54E-05,9.34E-05,5.54E-05,0.000132291,4.61E-05
