archetype,read_month,read_type_of_day,read_hh,n_puprn,elec_imp_mean,elec_imp_50th,elec_imp_75th,elec_imp_25th,elec_imp_90th,elec_imp_10th
D,apr,weekend,9,80,2.93E-05,2.70E-05,3.57E-05,2.13E-05,4.44E-05,1.45E-05
D,apr,weekend,10,80,3.01E-05,2.96E-05,3.41E-05,2.16E-05,4.65E-05,1.67E-05
D,apr,weekend,11,80,2.98E-05,2.65E-05,3.50E-05,2.09E-05,4.08E-05,1.50E-05
D,apr,weekend,12,80,3.04E-05,2.66E-05,3.48E-05,2.12E-05,4.47E-05,1.60E-05
D,apr,weekend,13,80,3.49E-05,2.92E-05,4.29E-05,2.36E-05,4.77E-05,1.61E-05
D,apr,weekend,14,80,3.83E-05,3.22E-05,4.35E-05,2.46E-05,6.45E-05,1.96E-05
D,apr,weekend,15,80,4.28E-05,3.76E-05,5.04E-05,2.87E-05,7.74E-05,2.23E-05
D,apr,weekend,16,80,4.73E-05,3.61E-05,5.54E-05,2.77E-05,8.01E-05,1.65E-05
D,apr,weekend,17,80,4.85E-05,4.20E-05,5.89E-05,3.18E-05,9.24E-05,2.47E-05
D,apr,weekend,18,80,5.39E-05,4.48E-05,7.22E-05,3.23E-05,8.25E-05,2.48E-05
D,apr,weekend,19,80,5.42E-05,4.81E-05,6.53E-05,3.61E-05,8.14E-05,2.77E-05
D,apr,weekend,20,80,6.62E-05,5.93E-05,7.88E-05,3.90E-05,9.84E-05,3.42E-05
D,apr,weekend,21,80,6.61E-05,5.50E-05,8.36E-05,4.11E-05,0.000113539,3.02E-05
D,apr,weekend,22,80,6.47E-05,5.82E-05,6.69E-05,4.29E-05,9.19E-05,3.14E-05
D,apr,weekend,23,80,6.84E-05,5.48E-05,7.68E-05,4.69E-05,9.75E-05,3.43E-05
D,apr,weekend,24,80,6.97E-05,5.87E-05,8.08E-05,4.43E-05,0.000101643,3.12E-05
D,apr,weekend,25,80,7.53E-05,6.65E-05,9.51E-05,4.65E-05,0.000123633,3.54E-05
D,apr,weekend,26,80,7.27E-05,6.60E-05,9.57E-05,4.83E-05,0.000112058,3.48E-05
D,apr,weekend,27,80,7.14E-05,6.30E-05,8.43E-05,4.72E-05,0.00011356,3.29E-05
D,apr,weekend,28,80,6.55E-05,6.28E-05,8.19E-05,4.76E-05,9.45E-05,3.59E-05
D,apr,weekend,29,80,6.34E-05,6.02E-05,7.47E-05,3.93E-05,8.75E-05,3.50E-05
D,apr,weekend,30,80,5.97E-05,5.23E-05,6.48E-05,4.77E-05,9.01E-05,3.57E-05
D,apr,weekend,31,80,6.45E-05,5.67E-05,7.76E-05,4.44E-05,9.62E-05,3.49E-05
D,apr,weekend,32,80,6.73E-05,5.35E-05,7.92E-05,4.43E-05,9.70E-05,3.65E-05
D,apr,weekend,33,80,6.59E-05,5.82E-05,7.97E-05,4.53E-05,9.74E-05,3.93E-05
D,apr,weekend,34,80,7.50E-05,6.44E-05,9.14E-05,4.44E-05,0.000133799,3.92E-05
D,apr,weekend,35,80,8.72E-05,7.21E-05,0.000112638,5.53E-05,0.000164716,3.97E-05
D,apr,weekend,36,80,8.92E-05,8.40E-05,0.000103253,5.52E-05,0.000152593,3.86E-05
D,apr,weekend,37,80,7.74E-05,6.75E-05,9.36E-05,5.02E-05,0.000127193,3.83E-05
D,apr,weekend,38,80,7.82E-05,6.63E-05,9.48E-05,5.17E-05,0.000126355,4.08E-05
D,apr,weekend,39,80,7.43E-05,6.66E-05,9.48E-05,5.18E-05,0.000117023,4.06E-05
D,apr,weekend,40,80,7.35E-05,6.63E-05,9.49E-05,4.73E-05,0.000110199,3.85E-05
D,apr,weekend,41,80,7.28E-05,6.37E-05,8.45E-05,4.82E-05,0.000112541,4.31E-05
D,apr,weekend,42,80,7.01E-05,6.00E-05,7.78E-05,4.85E-05,0.000121711,4.06E-05
D,apr,weekend,43,80,6.99E-05,5.76E-05,7.91E-05,4.85E-05,0.00012316,3.90E-05
D,apr,weekend,44,80,6.20E-05,5.68E-05,7.40E-05,4.47E-05,8.67E-05,3.73E-05
D,apr,weekend,45,80,6.19E-05,5.63E-05,6.96E-05,4.37E-05,9.66E-05,3.02E-05
D,apr,weekend,46,80,5.89E-05,5.17E-05,6.69E-05,3.93E-05,7.91E-05,3.38E-05
D,apr,weekend,47,80,5.17E-05,4.46E-05,5.97E-05,3.50E-05,7.35E-05,2.54E-05
D,apr,weekend,48,80,5.14E-05,4.16E-05,5.77E-05,3.33E-05,7.78E-05,2.42E-05
D,aug,weekday,1,80,3.91E-05,3.80E-05,5.41E-05,2.44E-05,6.22E-05,1.74E-05
D,aug,weekday,2,80,3.59E-05,3.19E-05,4.83E-05,2.59E-05,5.74E-05,1.62E-05
D,aug,weekday,3,80,3.39E-05,3.24E-05,4.06E-05,2.26E-05,5.06E-05,1.72E-05
D,aug,weekday,4,80,3.23E-05,2.95E-05,4.31E-05,2.16E-05,4.76E-05,1.48E-05
D,aug,weekday,5,80,3.02E-05,2.77E-05,3.92E-05,1.95E-05,4.38E-05,1.67E-05
D,aug,weekday,6,80,2.94E-05,2.86E-05,3.78E-05,1.98E-05,4.33E-05,1.59E-05
D,aug,weekday,7,80,2.89E-05,2.75E-05,3.52E-05,2.28E-05,4.27E-05,1.58E-05
D,aug,weekday,8,80,2.92E-05,2.76E-05,3.71E-05,2.09E-05,4.29E-05,1.55E-05
D,aug,weekday,9,80,2.91E-05,2.68E-05,3.59E-05,2.02E-05,4.23E-05,1.47E-05
D,aug,weekday,10,80,3.07E-05,2.84E-05,3.68E-05,2.16E-05,4.20E-05,1.51E-05
D,aug,weekday,11,80,3.04E-05,2.94E-05,3.75E-05,1.99E-05,4.66E-05,1.63E-05
D,aug,weekday,12,80,3.36E-05,3.04E-05,4.08E-05,2.27E-05,4.66E-05,1.68E-05
D,aug,weekday,13,80,3.67E-05,3.49E-05,4.25E-05,2.41E-05,4.91E-05,2.00E-05
D,aug,weekday,14,80,4.00E-05,3.70E-05,4.37E-05,2.67E-05,6.16E-05,1.94E-05
D,aug,weekday,15,80,4.37E-05,3.75E-05,5.57E-05,2.88E-05,7.44E-05,2.22E-05
D,aug,weekday,16,80,4.78E-05,4.03E-05,6.47E-05,3.40E-05,7.45E-05,2.23E-05
D,aug,weekday,17,80,5.06E-05,4.44E-05,6.01E-05,3.34E-05,7.08E-05,2.68E-05
D,aug,weekday,18,80,5.29E-05,4.51E-05,6.22E-05,3.88E-05,8.05E-05,2.61E-05
D,aug,weekday,19,80,5.58E-05,4.94E-05,6.19E-05,3.61E-05,8.30E-05,2.83E-05
D,aug,weekday,20,80,5.54E-05,5.16E-05,6.26E-05,3.76E-05,7.74E-05,2.96E-05
D,aug,weekday,21,80,5.48E-05,4.96E-05,6.45E-05,3.75E-05,8.26E-05,3.17E-05
D,aug,weekday,22,80,5.98E-05,5.35E-05,6.93E-05,3.79E-05,8.71E-05,2.88E-05
D,aug,weekday,23,80,5.96E-05,5.24E-05,6.57E-05,4.39E-05,8.85E-05,3.15E-05
D,aug,weekday,24,80,5.73E-05,5.52E-05,6.30E-05,4.27E-05,8.10E-05,3.24E-05
D,aug,weekday,25,80,5.97E-05,5.57E-05,7.15E-05,4.29E-05,8.33E-05,3.40E-05
D,aug,weekday,26,80,6.09E-05,5.56E-05,7.11E-05,4.65E-05,8.56E-05,2.95E-05
D,aug,weekday,27,80,5.59E-05,5.26E-05,6.58E-05,4.20E-05,7.77E-05,3.38E-05
D,aug,weekday,28,80,5.38E-05,5.24E-05,6.38E-05,4.24E-05,7.75E-05,3.15E-05
D,aug,weekday,29,80,5.22E-05,5.13E-05,6.60E-05,3.79E-05,7.67E-05,3.19E-05
D,aug,weekday,30,80,5.55E-05,5.44E-05,6.60E-05,3.72E-05,8.73E-05,2.74E-05
D,aug,weekday,31,80,5.64E-05,5.36E-05,6.76E-05,4.17E-05,8.52E-05,3.12E-05
D,aug,weekday,32,80,5.82E-05,5.65E-05,6.77E-05,4.42E-05,8.04E-05,2.73E-05
D,aug,weekday,33,80,6.38E-05,6.03E-05,7.00E-05,4.85E-05,9.89E-05,2.99E-05
D,aug,weekday,34,80,7.04E-05,6.25E-05,8.08E-05,5.13E-05,0.000125512,3.58E-05
D,aug,weekday,35,80,7.95E-05,6.68E-05,9.38E-05,5.29E-05,0.000145765,3.04E-05
D,aug,weekday,36,80,7.75E-05,6.40E-05,8.54E-05,4.85E-05,0.0001262,3.49E-05
D,aug,weekday,37,80,7.73E-05,6.59E-05,9.90E-05,4.76E-05,0.000106046,3.71E-05
D,aug,weekday,38,80,7.92E-05,6.40E-05,9.30E-05,4.90E-05,0.00015218,3.73E-05
D,aug,weekday,39,80,7.64E-05,6.49E-05,8.17E-05,5.04E-05,0.000123369,4.03E-05
D,aug,weekday,40,80,7.31E-05,7.07E-05,9.50E-05,5.02E-05,0.000111917,4.34E-05
D,aug,weekday,41,80,7.46E-05,6.71E-05,9.40E-05,5.40E-05,0.00011564,4.65E-05
D,aug,weekday,42,80,6.87E-05,6.24E-05,8.44E-05,5.31E-05,0.000109829,3.88E-05
D,aug,weekday,43,80,6.46E-05,6.00E-05,7.48E-05,5.05E-05,9.40E-05,3.65E-05
D,aug,weekday,44,80,6.27E-05,5.88E-05,7.40E-05,4.60E-05,8.86E-05,3.27E-05
D,aug,weekday,45,80,5.97E-05,5.86E-05,6.73E-05,4.16E-05,8.85E-05,2.80E-05
D,aug,weekday,46,80,5.49E-05,5.12E-05,6.45E-05,3.50E-05,8.49E-05,2.18E-05
D,aug,weekday,47,80,4.89E-05,4.54E-05,6.14E-05,3.05E-05,7.61E-05,1.91E-05
D,aug,weekday,48,80,4.35E-05,3.76E-05,5.75E-05,2.82E-05,6.77E-05,1.66E-05
D,aug,weekend,1,80,4.08E-05,3.96E-05,5.98E-05,2.63E-05,6.82E-05,1.93E-05
D,aug,weekend,2,80,3.81E-05,3.45E-05,5.26E-05,2.31E-05,5.84E-05,1.66E-05
D,aug,weekend,3,80,3.54E-05,3.42E-05,4.72E-05,2.42E-05,5.29E-05,1.89E-05
D,aug,weekend,4,80,3.35E-05,3.08E-05,4.32E-05,2.20E-05,5.06E-05,1.51E-05
D,aug,weekend,5,80,3.14E-05,2.97E-05,3.96E-05,2.18E-05,4.54E-05,1.68E-05
D,aug,weekend,6,80,3.11E-05,2.97E-05,3.83E-05,2.11E-05,4.94E-05,1.27E-05
D,aug,weekend,7,80,3.07E-05,2.81E-05,3.75E-05,2.04E-05,5.15E-05,1.50E-05
D,aug,weekend,8,80,2.90E-05,2.87E-05,3.77E-05,1.90E-05,4.48E-05,1.32E-05
D,aug,weekend,9,80,2.93E-05,2.79E-05,3.70E-05,2.11E-05,4.37E-05,1.20E-05
D,aug,weekend,10,80,2.99E-05,2.89E-05,3.68E-05,2.18E-05,4.28E-05,1.58E-05
D,aug,weekend,11,80,2.83E-05,2.69E-05,3.64E-05,1.92E-05,4.05E-05,1.56E-05
D,aug,weekend,12,80,3.09E-05,2.83E-05,3.96E-05,2.18E-05,4.27E-05,1.75E-05
D,aug,weekend,13,80,3.36E-05,3.25E-05,4.19E-05,2.26E-05,4.61E-05,1.70E-05
D,aug,weekend,14,80,3.63E-05,3.37E-05,4.37E-05,2.41E-05,5.41E-05,1.95E-05
D,aug,weekend,15,80,4.25E-05,3.42E-05,5.31E-05,2.63E-05,6.26E-05,2.09E-05
D,aug,weekend,16,80,4.49E-05,3.75E-05,5.15E-05,2.92E-05,7.15E-05,2.09E-05
D,aug,weekend,17,80,4.54E-05,4.39E-05,5.74E-05,2.91E-05,7.56E-05,2.26E-05
D,aug,weekend,18,80,5.20E-05,4.12E-05,5.93E-05,3.14E-05,7.67E-05,1.98E-05
D,aug,weekend,19,80,5.38E-05,4.88E-05,6.02E-05,3.27E-05,8.93E-05,2.15E-05
D,aug,weekend,20,80,5.82E-05,4.94E-05,6.73E-05,3.81E-05,8.97E-05,2.17E-05
D,aug,weekend,21,80,6.35E-05,5.34E-05,8.33E-05,3.91E-05,0.000111364,3.15E-05
D,aug,weekend,22,80,6.47E-05,5.66E-05,7.62E-05,4.04E-05,8.17E-05,3.23E-05
D,aug,weekend,23,80,6.57E-05,5.53E-05,7.09E-05,4.20E-05,9.93E-05,3.47E-05
D,aug,weekend,24,80,6.61E-05,5.19E-05,7.78E-05,3.90E-05,0.000107206,3.37E-05
D,aug,weekend,25,80,6.57E-05,5.88E-05,7.77E-05,4.50E-05,1.00E-04,3.63E-05
D,aug,weekend,26,80,7.13E-05,5.82E-05,8.27E-05,4.67E-05,0.000122242,2.98E-05
D,aug,weekend,27,80,6.76E-05,6.02E-05,8.85E-05,4.51E-05,0.00011701,3.38E-05
D,aug,weekend,28,80,6.15E-05,5.30E-05,7.43E-05,4.32E-05,9.23E-05,3.43E-05
D,aug,weekend,29,80,5.87E-05,5.43E-05,6.98E-05,4.19E-05,7.82E-05,3.11E-05
D,aug,weekend,30,80,6.46E-05,5.66E-05,6.81E-05,4.20E-05,0.000108723,3.49E-05
