archetype,n_puprn,month,elec_imp_total_kwh_mean,elec_imp_total_kwh_50th,elec_imp_total_kwh_75th,elec_imp_total_kwh_25th,elec_imp_total_kwh_90th,elec_imp_total_kwh_10th,elec_imp_hh_peak_wh_mean,elec_imp_hh_peak_wh_50th,elec_imp_hh_peak_wh_75th,elec_imp_hh_peak_wh_25th,elec_imp_hh_peak_wh_90th,elec_imp_hh_peak_wh_10th,elec_imp_hh_min_wh_mean,elec_imp_hh_min_wh_50th,elec_imp_hh_min_wh_75th,elec_imp_hh_min_wh_25th,elec_imp_hh_min_wh_90th,elec_imp_hh_min_wh_10th
V,255,jan,658.0861882,548.6737,857.2318,338.0628,1340.3692,184.9213,3392.070588,3327.4,4615.9,2081.3,5292.5,1330.1,65.02352941,41.7,80.3,21.7,138.6,10.2
V,255,feb,555.7701804,464.2224,710.5109,304.9096,1020.0799,160.4075,3323.901961,3086.9,4487.8,2064.4,5327.1,1201.4,59.54509804,41.2,74.7,21.6,126.1,0
V,255,mar,565.9420118,491.8226,737.7008,303.9988,1134.445,190.5141,3261.345098,3094.4,4520.3,2030.4,5372.8,1282.7,58.15294118,42.1,74.9,22.3,121.3,6.8
V,255,apr,498.6831843,428.703,621.424,272.661,941.7116,159.5429,3168.45098,2910.5,4311,1828.7,5106,1216.9,57.98039216,43.1,71,21.5,116.4,10
V,255,may,473.8845686,399.4947,624.8014,256.8105,930.3653,144.8496,3012.72549,2894.4,4199.5,1793.8,4951.8,1107.1,53.63921569,37.7,66.8,18.2,113.8,1.2
V,255,jun,450.6926039,372.1981,605.058,255.2276,841.2577,144.8988,3005.603922,2770.8,4315.2,1661.1,4915.6,1051.1,55.92156863,41.9,74.2,20.8,117.7,4
VX,59,jul,293.667,217.9965,351.5367,168.2632,551.5193,103.7707,3029.457627,3493.5,4176.4,1897.9,4614.1,1333.4,0,0,0,0,0,0
VX,59,aug,317.5321017,264.9977,427.2904,196.824,626.9819,97.1094,3063.847458,3629.8,4017.3,1949.5,4596.6,1342.9,0,0,0,0,0,0
VX,59,sep,349.725678,320.0078,504.9313,178.2153,591.3793,135.429,3141.949153,3342.2,4133.2,1917.5,4646.4,1609,0.711864407,0,0,0,0,0
VX,59,oct,483.2400339,392.2031,588.2188,248.4903,980.4997,174.9773,3509.610169,3706.2,4567.9,2374.1,5018.5,1797.5,0.644067797,0,0,0,0,0
VX,59,nov,566.9148136,491.9163,665.7164,285.9114,1042.1058,200.3414,3622.033898,3696.6,4190.6,2637.1,5075.9,1942.3,0.06779661,0,0,0,0,0
VX,59,dec,669.8184237,506.4292,951.267,357.0566,1051.8007,230.4244,3631.813559,3835.8,4398.7,2423.3,5295.8,1819.8,2.576271186,0,0,0,0.3,0
VX,59,jan,661.3364237,519.6291,892.8749,331.4662,1102.4441,254.906,3807.271186,3845.8,4954.9,2608.1,5493.1,1822.6,0.93220339,0,0,0,0,0
VX,59,feb,520.4016441,379.9435,615.3444,285.1418,1011.6416,196.3432,3525.745763,3815.3,4563.8,2322.2,5265.3,1856.4,1.288135593,0,0,0,0,0
VX,59,mar,508.221322,410.6239,658.4406,210.0327,1039.5498,152.907,3519.457627,3811.3,4500.8,2417.1,5346.9,1467.1,0.457627119,0,0,0,0,0
VX,59,apr,396.0296102,275.9549,441.7247,175.7209,772.7138,97.1882,3440.016949,3639.4,4716.4,1932.2,4874.7,1684,0.491525424,0,0,0,0,0
VX,59,may,321.4768814,236.6376,446.7751,164.7676,651.0913,100.774,3362.949153,3796.6,4059.2,1878.6,5165.5,1300.8,0.491525424,0,0,0,0,0
VX,59,jun,288.5235763,232.5641,380.1975,133.5171,561.3419,57.7149,3285.389831,3669.6,4188.5,2009.1,5173.7,1547.2,0.474576271,0,0,0,0,0
X,499,jul,172.6074248,131.7233,199.36,89.0736,308.5325,62.4194,1426.9499,1285.5,1691.7,907.9,2351.9,660,0.122244489,0,0,0,0,0
X,499,aug,193.796014,147.0184,225.4019,99.3958,346.9453,68.4061,1507.991984,1359.3,1831.6,975.8,2443.1,718.2,0.240480962,0,0,0,0,0
X,499,sep,205.4681743,162.0656,241.872,111.7619,362.6458,79.7446,1540.49499,1384.1,1839.5,1025.9,2407.6,714.7,0.426853707,0,0,0,0,0
X,499,oct,272.0316713,207.8845,319.6626,141.7033,516.748,104.7992,1750.024048,1557.9,2037.1,1180.7,2774.8,874.6,0.539078156,0,0,0,0,0
X,499,nov,337.6947014,251.0131,370.1115,166.1213,680.9527,117.853,1906.563126,1648.6,2232.5,1248.5,3237.4,906.9,1.410821643,0,0,0,0,0
X,499,dec,416.3542024,305.0725,474.8146,189.0852,842.6317,140.9269,2069.569138,1829.7,2446.6,1376.1,3536.6,1003.9,6.338677355,0,0,0,3.1,0
X,499,jan,400.72298,274.0487,436.0538,181.8548,839.7788,131.8341,1989.426854,1726,2358.9,1309,3296.4,996.1,3.897795591,0,0,0,0,0
X,499,feb,308.6170862,215.578,343.1485,141.9935,640.6301,102.2559,1884.184369,1649.3,2333.1,1214.8,3320.1,907.8,1.476953908,0,0,0,0,0
X,499,mar,273.2501162,196.8433,313.3332,126.845,528.8193,93.1929,1767.639279,1521.3,2111.4,1121.6,3062,820.9,0.55511022,0,0,0,0,0
X,499,apr,213.8863627,154.883,250.8106,100.3716,451.1739,72.7183,1649.058116,1434,2011.4,1000.2,2803.5,756.6,0.95991984,0,0,0,0,0
X,499,may,175.9563447,132.4082,214.1915,87.5618,324.1269,62.262,1529.571142,1294.8,1868.2,938.1,2634.3,671.9,0.837675351,0,0,0,0,0
X,499,jun,156.9823527,113.9281,188.8691,76.1358,276.9844,51.3974,1461.705411,1241.1,1751.4,891.7,2593.8,650.5,0.340681363,0,0,0,0,0
