archetype,n_puprn,month,elec_imp_total_kwh_mean,elec_imp_total_kwh_50th,elec_imp_total_kwh_75th,elec_imp_total_kwh_25th,elec_imp_total_kwh_90th,elec_imp_total_kwh_10th,elec_imp_hh_peak_wh_mean,elec_imp_hh_peak_wh_50th,elec_imp_hh_peak_wh_75th,elec_imp_hh_peak_wh_25th,elec_imp_hh_peak_wh_90th,elec_imp_hh_peak_wh_10th,elec_imp_hh_min_wh_mean,elec_imp_hh_min_wh_50th,elec_imp_hh_min_wh_75th,elec_imp_hh_min_wh_25th,elec_imp_hh_min_wh_90th,elec_imp_hh_min_wh_10th
G10p,699,mar,171.1223104,149.1588,195.7005,114.2968,268.1537,84.4242,1240.507868,1126.8,1493.2,890.7,1942.3,666.5,24.03004292,17,29,11,46.3,4.8
G10p,699,apr,153.4443619,133.1513,174.9871,102.2954,235.6862,75.3409,1211.329041,1111.2,1485.9,831.6,1914.4,620.2,24.42203147,18,29,12,49.1,6
G10p,699,may,144.9141173,128.8921,168.5869,99.3165,231.7728,72.1472,1161.334764,1043.2,1392.1,794.2,1874.7,599.5,24.1602289,18,30,11,49.2,5
G10p,699,jun,136.8307353,119.4441,159.2678,89.3727,208.0358,67.2132,1121.416309,995.5,1363.6,756.6,1798.5,547.7,24.50643777,19,30,12,47.8,6
G11,87,jul,186.0501149,179.121,207.8541,135.4003,247.2485,110.1549,1527.954023,1314.1,1849.7,1089.6,2605.8,782.7,21.04597701,17.2,26.3,10.9,43,8.2
G11,87,aug,175.0226207,166.9256,212.8123,138.5505,247.7564,107.3705,1555.402299,1482.6,1747.1,1101.5,2170.4,801.1,22.97701149,18.6,27.8,13.3,46.2,8.3
G11,87,sep,174.8791264,166.8237,217.8798,131.872,245.9855,111.5441,1561.908046,1429.4,1680.5,1087.9,2357,902.1,22.37931034,20.5,27.6,12.2,40.3,8.6
G11,87,oct,195.3267816,184.9093,257.5875,144.1603,299.2462,104.0382,1691.310345,1462.1,1991.7,1214.6,2533.3,851.5,22.2183908,19.2,28.7,10.6,41.4,9.3
G11,87,nov,206.2725747,192.0859,261.0469,141.3218,293.0926,111.8516,1721.229885,1530.1,1885.3,1201.2,2725.2,1008.5,21.5862069,16.3,28,10.2,39.2,9.1
G11,87,dec,225.9965977,212.9282,265.805,157.1214,319.2083,130.0766,1724.08046,1541.5,2028.5,1278.1,2730.6,890.6,21.27586207,16.1,26.5,10,42.4,2.3
G20,1621,jan,349.668578,292.3426,409.3403,215.4726,587.7145,162.0003,2023.813695,1864.6,2374.9,1426.2,3073,1152.4,40.31708822,29,49,17,85.3,10
G11,87,feb,195.6007701,190.4777,241.0956,146.3223,288.3609,113.755,1701.091954,1553.9,2029.2,1134.1,2956.7,878.2,23.01149425,17.4,30.7,13.1,48.8,9.2
G11,87,mar,201.0572759,195.0654,245.4174,145.0816,272.708,116.8083,1627.666667,1515.8,1778.6,1085.3,2506.8,943.1,21.94252874,16.1,25.2,10.6,38.3,9
G11,87,apr,176.9872759,171.0555,217.634,127.7007,268.2742,94.8262,1589.827586,1336.7,1715.9,1103.5,2720.6,841.7,21.59770115,14.9,26.5,9.9,42,8.1
G11,87,may,182.0065057,167.8728,231.6531,125.88,270.8689,90.7162,1631.045977,1367.7,1878,1060.4,2392.8,799.7,19.08045977,13.8,23.7,9.5,37.3,0.1
G11,87,jun,166.5243793,160.6265,214.0648,117.0587,236.6576,90.6925,1515.62069,1364.3,1728.1,1120.2,2280.3,857.1,21.29885057,16.8,27,10,41.3,8.7
G12,56,jul,224.7024107,189.001,244.6691,167.3695,313.7416,113.002,1723.928571,1619.1,1847.6,1144.1,2742.1,887.8,27.08928571,20.4,31.6,15,47.1,3.9
G12,56,aug,215.7233036,188.0663,252.3192,149.524,289.0781,119.2978,1691.535714,1396.1,1992.4,1072.2,2864.5,859.3,28.75,22.9,31,16.1,54.4,12.7
G12,56,sep,217.5642679,183.8758,238.9192,138.908,308.1144,125.7076,1668.196429,1491.3,1986,1069.3,2596.6,903.5,28.01785714,21.9,32.8,15.2,55,11.8
G12,56,oct,234.8940179,215.2107,242.805,170.7029,348.4109,133.3064,1852.678571,1536.4,2152.2,1199.7,2999.3,1083,28.96428571,22.6,33.3,15.1,52.1,11.5
G12,56,nov,246.5554464,226.765,250.7525,185.4991,372.5707,137.4004,1940.821429,1853.2,2202.4,1370.8,2997.4,986,26.14285714,19.6,33.2,14.4,50.1,3.6
G12,56,dec,273.947625,252.6184,298.3362,189.0372,431.7576,152.5499,1925.035714,1797.6,2300.3,1364.6,3012.6,1073.6,29.44642857,27.1,34.1,14,51,13
G20p,1221,jan,335.0043767,286.7886,396.6243,220.3721,554.6312,172.5384,1832.725635,1718.4,2154.5,1341.8,2701.8,1082.1,40.56592957,31,50,20,74.7,11
G12,56,feb,241.6883929,213.6808,237.9717,163.4115,343.7634,132.5569,1890.678571,1680.4,2125.8,1270.1,3051.7,1026.6,29.10714286,20.3,35.7,14.7,54.9,10.8
G12,56,mar,248.2923393,221.8114,255.6878,161.0608,365.2386,127.0094,1899.535714,1740,2211.9,1350.2,2638.1,1055.3,28.82142857,18.3,35.4,15.3,50.7,11.1
G12,56,apr,214.6236071,189.4295,225.7324,150.9891,347.0904,107.787,1742.696429,1453,1908.4,1173.3,2536.2,968.3,26.42857143,22.1,32.6,11.9,49,10.1
G12,56,may,214.9837143,191.6047,243.1548,145.0082,305.1972,115.1308,1757.589286,1554.3,1861.8,1181.8,3161.8,868.9,28.05357143,19,38.3,12.4,56.1,9.3
G12,56,jun,212.0587321,169.0483,230.0521,143.4456,281.8524,108.2001,1747.196429,1429.9,1858.1,1078.5,3030.3,863.9,24.08928571,15.6,24.8,9.4,59.4,0.5
G20,1621,jul,266.2610932,235.2156,321.769,174.6451,436.9167,129.4409,1695.906848,1546,1994,1201.1,2652,957.7,39.91116595,30,51,18,82.1,10
G20,1621,aug,265.4580654,237.2003,320.9322,171.1062,438.5229,126.6232,1728.247378,1582.5,2034.6,1217.8,2618.3,997.1,39.13448489,29,50,17,79.6,10
G20,1621,sep,256.7919328,227.4897,312.8661,169.0544,412.6292,124.7003,1743.84454,1600.6,2059.8,1237.2,2671.5,987.7,38.68291178,29,49,17,77.8,10
G20,1621,oct,291.3253442,256.082,353.625,187.2823,476.4933,142.5032,1856.161629,1709.5,2184.4,1316.6,2799.8,1071.5,38.04441703,29,48,17,75.7,10
G20,1621,nov,309.6382671,266.7761,368.1568,195.984,513.1934,148.6726,1928.242443,1771.2,2267.4,1365.6,2976.1,1094.6,38.82788402,28,47,17,81.2,10
G20,1621,dec,352.0014991,298.4158,420.4041,214.2993,599.2403,165.0044,2066.006786,1904.7,2444.1,1471.1,3150.2,1152.2,40.1573103,28,48,17,80.6,10
G12,56,jan,276.1563036,245.9249,318.9255,191.7555,408.5226,136.4499,1893.25,1689.1,2215.1,1382.6,3243.6,1129,29.75,19.8,37.2,14.5,48,12.1
G20,1621,feb,292.9247717,247.1832,349.3308,184.523,478.9418,135.3431,1931.421962,1782.5,2266,1350.9,2955.8,1086.5,39.36767428,28,47,17,78.9,10
G20,1621,mar,294.9415663,254.1949,349.8154,185.826,486.1241,138.3773,1888.032079,1711.6,2217.2,1322.3,2909.3,1087.2,37.59099321,28,46,17,74.4,10
G20,1621,apr,263.0694812,225.3516,317.3312,167.4164,432.2044,124.8749,1820.697717,1625.7,2123.1,1263.7,2841.7,1044.9,36.49475632,27,45,16,74.2,10
G20,1621,may,248.196261,218.329,299.3719,158.4828,402.4961,120.8796,1740.10364,1520.5,2004.7,1183.2,2835,975.5,35.65761875,27,45,16,72,9
G20,1621,jun,231.1480802,203.139,281.355,150.8285,381.255,113.6264,1669.586058,1466.6,1924.2,1148,2639.3,948.2,36.21714991,27,46,16,73.4,9
G20p,1221,jul,251.2023857,228.1926,293.9355,176.7575,382.7896,136.837,1518.587224,1397.8,1779.9,1123.9,2269.2,904.6,39.47092547,33,51,20,74.8,10
G20p,1221,aug,253.1935913,232.4749,298.031,180.1117,393.1025,139.2005,1573.72973,1450,1841.9,1152.1,2382,923.7,40.5012285,33,52,21,73.9,13
G20p,1221,sep,245.7143612,222.8797,293.5994,171.6051,380.7241,131.1335,1564.542998,1452.5,1819.5,1151.2,2313.5,919.1,38.56347256,32,50,20,71,11
G20p,1221,oct,277.865819,249.8661,323.5776,195.2677,438.5591,151.2579,1675.761671,1553.7,1970.1,1233,2463.2,1012,38.69287469,32,49,20,73.2,11
G20p,1221,nov,301.1352596,264.5826,355.0412,202.2162,483.8295,159.5532,1761.416052,1655.4,2083.6,1285.7,2598.3,1016.7,39.22932023,31,50,20,73.2,11
G20p,1221,dec,344.6239451,300.9586,409.3212,226.6199,555.8202,181.797,1905.813268,1769,2266,1383.4,2805.6,1124.7,41.3038493,32,51,20,73.8,13
G11,87,jan,236.9584023,231.3295,284.2489,174.4971,354.8676,140.6149,1781.83908,1523.2,2298.6,1175.3,3123.6,927.3,22.28735632,18.5,28.7,9.8,53,7.5
G20p,1221,feb,285.015131,248.6794,340.7848,190.8497,454.7406,145.7035,1767.817363,1622.4,2093.8,1297.2,2593.7,1047.8,39.42669943,31,49.8,19,74.9,10
G20p,1221,mar,283.5077314,249.9553,333.1483,191.7512,456.5295,146.0993,1703.072891,1567.7,2015.2,1238.5,2621.3,1009.1,37.93775594,31,48.1,19,73.3,11
G20p,1221,apr,253.1119812,225.151,299.0839,175.3247,401.166,133.1394,1666.285831,1513.4,1963,1182.9,2539.5,954,36.97461097,30,48,19,71,10
G20p,1221,may,237.7728296,212.3142,279.6681,165.1194,379.0818,126.2795,1555.129402,1404.7,1819.7,1128,2313.2,905.7,36.96478296,30,47,19,69,9.9
G20p,1221,jun,222.2554701,201.3177,263.2256,152.8723,354.795,120.1738,1501.004095,1358,1798.5,1081.2,2272.9,869.5,37.32104832,30,48,19,69.7,10
G21,434,jul,292.5362143,258.6128,357.6086,197.8184,461.4691,154.3512,1841.306452,1609.2,2104.4,1295.5,2877.6,1022.5,40.41705069,32,50,18,76.4,10
G21,434,aug,288.651477,252.2477,355.377,190.801,479.5487,149.9584,1876.12212,1680.4,2152.3,1276.9,3044.8,1032.8,39.85023041,31,52,16.9,74,9.9
G21,434,sep,292.2216083,259.8936,343.9457,195.3135,468.0321,152.1251,1880.357143,1688.8,2192.8,1333.1,2945.4,1062.6,39.89631336,31,50.2,18,68.9,11
G21,434,oct,327.35303,292.411,391.2177,220.472,526.1224,166.5684,2023.394009,1787.2,2370.5,1405.8,3064,1136.7,38.53686636,30,48.9,18,68.3,9.3
G21,434,nov,358.1618249,307.0456,415.6339,234.4613,580.8064,175.9703,2136.476959,1911.8,2509.2,1509.2,3303.4,1208.9,40.81797235,31,50.7,19,74.8,10.8
G21,434,dec,403.6962028,344.2953,485.6175,250.0433,665.1026,188.1706,2198.253456,1979.3,2569.1,1541,3569.6,1257.9,43.34562212,32,54.2,18,75.4,10.9
G10p,699,jan,200.8616209,167.8576,223.0833,127.6835,322.012,95.9747,1337.307582,1209.7,1629.1,937.4,2103.9,723.1,25.47639485,18,30,11,51,6
G21,434,feb,343.6131751,294.0397,416.6256,220.6697,565.0947,162.1321,2121.90553,1876.1,2489.4,1504.4,3355.1,1213.9,41.94470046,32,54,18,78.2,11
G21,434,mar,342.4764562,297.9126,398.8322,223.9222,559.3083,169.1819,2025.352535,1825.3,2352,1397.4,3280.1,1141.6,39.44700461,32.4,52.2,18,73.3,11.1
G21,434,apr,295.0629263,260.4876,356.3878,190.3985,494.102,146.3984,1944.619816,1747.1,2254,1345.3,3172.7,1070,36.81336406,28,48.1,16,67.2,8.1
G21,434,may,289.5471728,250.7678,346.0815,188.7649,478.895,146.5816,1878.990783,1663.5,2138.8,1294.1,3077.7,1038.5,38.08294931,28.9,47.1,17.2,69.9,10.1
G21,434,jun,266.98253,235.968,324.0498,172.9866,416.414,136.0693,1789.748848,1554.7,2029.4,1192.1,2898.5,994.7,38.22119816,29,48.2,18,69.2,10.2
G22,529,jul,326.6178129,298.7127,384.9379,229.7875,510.67,183.8417,1989.283554,1772.6,2288.3,1457,3053.2,1189.3,42.41776938,34.1,55.1,20,84,10
G22,529,aug,312.2005009,285.6082,374.0781,223.8838,484.101,158.8979,2012.689981,1827,2371.6,1413.6,3164.8,1156.3,39.03969754,32.1,52,17.8,76.9,8.8
G22,529,sep,335.6002533,306.9965,401.2676,234.0805,508.131,190.9009,2056.463138,1840.3,2372,1435.3,3109.8,1174.8,42.48960302,33.9,55.9,21,83.8,10.5
G22,529,oct,382.1480378,347.6771,441.9565,266.396,583.2867,219.4609,2225.187146,1979.9,2572.9,1617.7,3558.1,1332.3,42.14555766,32,54,20,81.5,13
G22,529,nov,416.5067391,367.4947,484.7172,280.1828,671.6896,220.1007,2324.990548,2114.1,2651.9,1677.4,3628.6,1386.9,44.34971645,34,55.7,21,86.9,11.7
G22,529,dec,454.697966,396.8015,529.057,307.6599,728.9337,241.0097,2446.463138,2211.9,2840.8,1776.3,3753.3,1433.4,46.00378072,34.1,56.1,21,87.7,12.9
G10,583,jan,178.3436346,154.6301,218.1362,115.7334,283.7777,84.1168,1448.475129,1265.6,1709.9,992.3,2367.7,806.4,22.02915952,16,26.8,10,44.7,5
G22,529,feb,385.1990567,334.7566,451.2206,255.8649,604.7123,203.6967,2357.655955,2138.2,2741.9,1666.1,3630.3,1396,45.3100189,34,56.1,20,79.6,11.2
G22,529,mar,393.5921645,343.1178,461.8703,259.34,624.5253,216.3423,2308.865784,2084.5,2665.4,1656.8,3710.5,1305.7,43.0926276,33,54.1,20.3,84.1,12.4
G22,529,apr,336.444431,302.511,392.0323,228.5535,537.5665,180.8835,2179.84121,1919,2506.4,1585.3,3547,1222.9,39.72022684,31,47.5,19,74.4,10.8
G22,529,may,328.3553251,287.7714,382.1353,225.2499,519.5864,175.4119,2064.831758,1812.6,2347.6,1444.9,3239.1,1179.4,39.79206049,30.9,50.9,18,77.2,10
