"archetype","read_month","read_type_of_day","read_hh","n_puprn","elec_imp_mean","elec_imp_50th","elec_imp_75th","elec_imp_25th","elec_imp_90th","elec_imp_10th","month","n_days","mean.year","p50th.year","p10th.year","p25th.year","p75th.year","p90th.year","kwh.mean","kwh.50th","kwh.10th","kwh.25th","kwh.75th","kwh.90th","persona"
"D","apr","weekday",22,80,"0.0000533","0.0000493","0.0000659","0.0000402","0.0000742","0.0000357",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.114237919315,0.105664717115,0.076515829635,0.08616068211,0.141243506245,0.15903290081,"P1"
"D","apr","weekday",23,80,"0.0000604","0.0000526","0.0000634","0.0000413","0.0000758","0.0000317",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.12945535322,0.11273760893,0.067942627435,0.088518312715,0.13588525487,0.16246218169,"P1"
"D","apr","weekday",24,80,"0.000059","0.0000517","0.0000674","0.0000423","0.0000846","0.0000326",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.12645473245,0.110808638435,0.06987159793,0.090661613265,0.14445845707,0.18132322653,"P1"
"D","apr","weekday",25,80,"0.000061","0.0000534","0.0000696","0.0000417","0.0000814","0.0000382",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.13074133355,0.11445224937,0.08187408101,0.089375632935,0.14917371828,0.17446466477,"P1"
"D","apr","weekday",26,80,"0.0000608","0.0000578","0.0000708","0.0000451","0.0000814","0.0000372",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.13031267344,0.12388277179,0.07973078046,0.096662854805,0.15174567894,0.17446466477,"P1"
"D","apr","weekday",27,80,"0.0000556","0.0000517","0.0000671","0.0000416","0.0000771","0.0000378",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.11916751058,0.110808638435,0.08101676079,0.08916130288,0.143815466905,0.165248472405,"P1"
"D","apr","weekday",28,80,"0.0000554","0.0000494","0.0000691","0.0000409","0.0000766","0.0000377",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.11873885047,0.10587904717,0.080802430735,0.087660992495,0.148102068005,0.16417682213,"P1"
"D","apr","weekday",29,80,"0.000055","0.0000504","0.0000669","0.0000416","0.0000777","0.0000391",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.11788153025,0.10802234772,0.083803051505,0.08916130288,0.143386806795,0.166534452735,"P1"
"D","apr","weekday",30,80,"0.0000557","0.0000495","0.0000664","0.0000405","0.0000826","0.0000316",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.119381840635,0.106093377225,0.06772829738,0.086803672275,0.14231515652,0.17703662543,"P1"
"D","apr","weekday",31,80,"0.0000555","0.0000518","0.0000643","0.0000416","0.0000791","0.000035",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.118953180525,0.11102296849,0.07501551925,0.08916130288,0.137814225365,0.169535073505,"P1"
"D","apr","weekday",32,80,"0.0000578","0.0000544","0.0000712","0.0000408","0.0000824","0.0000314",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.12388277179,0.11659554992,0.06729963727,0.08744666244,0.15260299916,0.17660796532,"P1"
"D","apr","weekday",33,80,"0.0000644","0.0000577","0.0000714","0.0000465","0.0000973","0.000036",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.13802855542,0.123668441735,0.0771588198,0.099663475575,0.15303165927,0.208543143515,"P1"
"D","apr","weekday",34,80,"0.0000692","0.0000636","0.0000806","0.0000456","0.0000998","0.000038",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.14831639806,0.13631391498,0.0814454209,0.09773450508,0.17275002433,0.21390139489,"P1"
"D","apr","weekday",35,80,"0.0000807","0.0000638","0.0000978","0.0000459","0.000130185","0.0000413",4,21.7,2143.30055,1678.2426,879.2986,1185.2101,2549.7553,3606.2058,0.172964354385,0.13674257509,0.088518312715,0.098377495245,0.20961479379,0.27902558210175,"P1"
