"month","date.time","weekend","hh","price","agile_stchg"
1,"2024-01-02 23:00:00+00:00",0,23,18.837,65.12
1,"2024-01-02 23:30:00+00:00",0,23.5,15.456,65.12
1,"2024-01-03 00:00:00+00:00",0,0,16.422,65.12
1,"2024-01-03 00:30:00+00:00",0,0.5,20.769,65.12
1,"2024-01-03 01:00:00+00:00",0,1,19.8765,65.12
1,"2024-01-03 01:30:00+00:00",0,1.5,17.1465,65.12
1,"2024-01-03 02:00:00+00:00",0,2,17.7975,65.12
1,"2024-01-03 02:30:00+00:00",0,2.5,16.8315,65.12
1,"2024-01-03 03:00:00+00:00",0,3,17.871,65.12
1,"2024-01-03 03:30:00+00:00",0,3.5,17.3355,65.12
1,"2024-01-03 04:00:00+00:00",0,4,16.065,65.12
1,"2024-01-03 04:30:00+00:00",0,4.5,15.939,65.12
1,"2024-01-03 05:00:00+00:00",0,5,17.724,65.12
1,"2024-01-03 05:30:00+00:00",0,5.5,18.1125,65.12
1,"2024-01-03 06:00:00+00:00",0,6,18.354,65.12
1,"2024-01-03 06:30:00+00:00",0,6.5,17.535,65.12
1,"2024-01-03 07:00:00+00:00",0,7,18.543,65.12
1,"2024-01-03 07:30:00+00:00",0,7.5,18.1125,65.12
1,"2024-01-03 08:00:00+00:00",0,8,18.3645,65.12
1,"2024-01-03 08:30:00+00:00",0,8.5,18.354,65.12
1,"2024-01-03 09:00:00+00:00",0,9,18.669,65.12
1,"2024-01-03 09:30:00+00:00",0,9.5,18.543,65.12
1,"2024-01-03 10:00:00+00:00",0,10,18.837,65.12
1,"2024-01-03 10:30:00+00:00",0,10.5,18.3015,65.12
1,"2024-01-03 11:00:00+00:00",0,11,18.837,65.12
1,"2024-01-03 11:30:00+00:00",0,11.5,19.32,65.12
1,"2024-01-03 12:00:00+00:00",0,12,19.299,65.12
1,"2024-01-03 12:30:00+00:00",0,12.5,19.236,65.12
1,"2024-01-03 13:00:00+00:00",0,13,20.286,65.12
1,"2024-01-03 13:30:00+00:00",0,13.5,17.871,65.12
1,"2024-01-03 14:00:00+00:00",0,14,18.1125,65.12
1,"2024-01-03 14:30:00+00:00",0,14.5,18.837,65.12
1,"2024-01-03 15:00:00+00:00",0,15,17.388,65.12
1,"2024-01-03 15:30:00+00:00",0,15.5,21.0105,65.12
1,"2024-01-03 16:00:00+00:00",0,16,32.025,65.12
1,"2024-01-03 16:30:00+00:00",0,16.5,37.0545,65.12
1,"2024-01-03 17:00:00+00:00",0,17,34.23,65.12
1,"2024-01-03 17:30:00+00:00",0,17.5,34.6395,65.12
1,"2024-01-03 18:00:00+00:00",0,18,32.802,65.12
1,"2024-01-03 18:30:00+00:00",0,18.5,31.227,65.12
1,"2024-01-03 19:00:00+00:00",0,19,20.475,65.12
1,"2024-01-03 19:30:00+00:00",0,19.5,18.963,65.12
1,"2024-01-03 20:00:00+00:00",0,20,18.354,65.12
1,"2024-01-03 20:30:00+00:00",0,20.5,18.039,65.12
1,"2024-01-03 21:00:00+00:00",0,21,18.4485,65.12
1,"2024-01-03 21:30:00+00:00",0,21.5,18.3645,65.12
1,"2024-01-03 22:00:00+00:00",0,22,18.375,65.12
1,"2024-01-03 22:30:00+00:00",0,22.5,16.401,65.12
1,"2024-01-03 23:00:00+00:00",0,23,16.884,65.12
1,"2024-01-03 23:30:00+00:00",0,23.5,16.6845,65.12
1,"2024-01-04 00:00:00+00:00",0,0,16.275,65.12
1,"2024-01-04 00:30:00+00:00",0,0.5,18.165,65.12
1,"2024-01-04 01:00:00+00:00",0,1,18.5955,65.12
1,"2024-01-04 01:30:00+00:00",0,1.5,16.3275,65.12
1,"2024-01-04 02:00:00+00:00",0,2,16.737,65.12
1,"2024-01-04 02:30:00+00:00",0,2.5,15.96,65.12
1,"2024-01-04 03:00:00+00:00",0,3,16.275,65.12
1,"2024-01-04 03:30:00+00:00",0,3.5,15.162,65.12
1,"2024-01-04 04:00:00+00:00",0,4,16.275,65.12
1,"2024-01-04 04:30:00+00:00",0,4.5,15.12,65.12
1,"2024-01-04 05:00:00+00:00",0,5,16.275,65.12
1,"2024-01-04 05:30:00+00:00",0,5.5,17.073,65.12
1,"2024-01-04 06:00:00+00:00",0,6,18.963,65.12
1,"2024-01-04 06:30:00+00:00",0,6.5,17.7765,65.12
1,"2024-01-04 07:00:00+00:00",0,7,18.5955,65.12
1,"2024-01-04 07:30:00+00:00",0,7.5,19.32,65.12
