"win.start","month","window","weekend","flex.oct_unit","flex.oct_stand","agile.in_unit","agile.in_stand","flux.import_unit","flux.import_stand","intel.flux.import_unit","intel.flux.import_stand","cosy_unit","cosy_stand","go_unit","go_stand","PAYG_unit","PAYG_stand","flex.PAYG_unit","flex.PAYG_stand","SEG_unit","agile.out_unit","flux.out_unit","intel.flux.out_unit","snug_unit","snug_stand","intelligent_go_unit","intelligent_go_stand","oev_intelligent_go_unit","oev_intelligent_go_stand","oct.fix.jan24_unit","oct.fix.jan24_stand","oct.e7.fix.jan24_unit","oct.e7.fix.jan24_stand","oct.e7.fix.nov24_unit","oct.e7.fix.nov24_stand","oct.fix.oct24_unit","oct.fix.oct24_stand","oct.fix.jul24_unit","oct.fix.jul24_stand"
2024-01-01 08:00:00,1,8,0,"29.16585","56.62650"," 6.7620","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 3.43","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 08:30:00,1,8.5,0,"29.16585","56.62650","12.5580","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.67","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 09:00:00,1,9,0,"29.16585","56.62650","11.5920","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.29","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 09:30:00,1,9.5,0,"29.16585","56.62650","16.4220","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.15","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 10:00:00,1,10,0,"29.16585","56.62650","11.5920","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.29","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 10:30:00,1,10.5,0,"29.16585","56.62650","14.4900","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 6.41","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 11:00:00,1,11,0,"29.16585","56.62650","17.1465","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.43","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 11:30:00,1,11.5,0,"29.16585","56.62650","17.1990","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 7.45","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 12:00:00,1,12,0,"29.16585","56.62650","13.2825","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 5.94","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
2024-01-01 12:30:00,1,12.5,0,"29.16585","56.62650","14.9730","50.9985","28.42455","56.6265","25.58209","56.6265","28.42455","56.6265","30.24714","56.63542","27.97998","56.95652","27.97998","56.95652",4.1," 6.60","17.4246","25.5821",NA,NA,NA,NA,NA,NA,27.3,56.63,33.04,56.72,NA,NA,NA,NA,NA,NA
